uri,type,label,comment
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10149,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Breda SAW Bur Open O,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10153,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Brielle,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10182,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Culemborg,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10194,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Deventer,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10207,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Doetinchem,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10215,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Dordrecht Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10215,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,"Gem Dordrecht, OSB",
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10249,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Emmen Sec L & Z Ondw,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10249,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Emmen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10253,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Enschede Welzynsdnst,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10253,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Enschede D M O,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10271,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Gaasterlan Sleat,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10300,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Gorinchem Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10302,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Gouda Dnst Ond/Educ,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10302,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Gouda Dienst Ond/Wel,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10322,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Groningen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10322,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,WMOO,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10334,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Haarlem Sect Esrc,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10334,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Haarlem Sector ESCR,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10334,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,"Gem Haarlem Sector MO, afd OWG",
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10368,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Heerenveen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10383,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Den Helder Ond Welz,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10383,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Den Helder dnst OW&C,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10385,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Hellevoetsluis Afd O,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10385,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Hellevoetsl Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10393,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Hengelo O D Welzyn,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10393,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Hengelo O Dienst SZW,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10412,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Hilversum Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10425,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Hoogeveen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10509,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Leeuwarden Welzyn,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10509,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Leeuwarden Welzijn,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10509,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Leeuwarden,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10511,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Leiden Dir Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10511,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Leiden Directie Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10557,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Maastricht Dienstkco,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10557,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Maastricht Dienst OCWS,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10580,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,GEM MIDDELBURG,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10604,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Naaldwyk P en O,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10609,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Neede,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10670,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Stadskanaal,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10679,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Ooststellingwerf,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10714,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Papendrecht,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10730,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Purmerend,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10746,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Rheden,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10756,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Roermond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10779,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Rijswijk,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10779,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Rijswijk,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10779,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Rijswijk (DIZ/OND),
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10785,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Schagen Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10798,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Schiedam Dienst Educ,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10839,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Spijkenisse Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10869,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Texel,
